Vl,dT_th_Linear,dT_th_Cubic,dT_th_Final,dV,d_dT_th,S(V)
0.0,,,,,,
0.02,,,,0.02,,
0.04,,,,0.02,,
0.06,,,,0.019999999999999997,,
0.08,,,,0.020000000000000004,,
0.1,,,,0.020000000000000004,,
0.12,,,,0.01999999999999999,,
0.14,,,,0.020000000000000018,,
0.16,,,,0.01999999999999999,,
0.18,,,,0.01999999999999999,,
0.2,,,,0.020000000000000018,,
0.22,,,,0.01999999999999999,,
0.24,,,,0.01999999999999999,,
0.26,,,,0.020000000000000018,,
0.28,,,,0.020000000000000018,,
0.3,,,,0.019999999999999962,,
0.32,,,,0.020000000000000018,,
0.34,,,,0.020000000000000018,,
0.36,,,,0.019999999999999962,,
0.38,,,,0.020000000000000018,,
0.4,,,,0.020000000000000018,,
0.42,,,,0.019999999999999962,,
0.44,,,,0.020000000000000018,,
0.46,,,,0.020000000000000018,,
0.48,,,,0.019999999999999962,,
0.5,,,,0.020000000000000018,,
0.52,,,,0.020000000000000018,,
0.54,,,,0.020000000000000018,,
0.56,,,,0.020000000000000018,,
0.58,,,,0.019999999999999907,,
0.6,,,,0.020000000000000018,,
0.62,,,,0.020000000000000018,,
0.64,,,,0.020000000000000018,,
0.66,,,,0.020000000000000018,,
0.68,,,,0.020000000000000018,,
0.7000000000000001,,,,0.020000000000000018,,
0.72,,,,0.019999999999999907,,
0.74,,,,0.020000000000000018,,
0.76,,,,0.020000000000000018,,
0.78,,,,0.020000000000000018,,
0.8,,,,0.020000000000000018,,
0.8200000000000001,,,,0.020000000000000018,,
0.84,,,,0.019999999999999907,,
0.86,,,,0.020000000000000018,,
0.88,,,,0.020000000000000018,,
0.9,,,,0.020000000000000018,,
0.92,,,,0.020000000000000018,,
0.94,,,,0.019999999999999907,,
0.96,,,,0.020000000000000018,,
0.98,,,,0.020000000000000018,,
1.0,,,,0.020000000000000018,,
1.02,,,,0.020000000000000018,,
1.04,,,,0.020000000000000018,,
1.06,,,,0.020000000000000018,,
1.08,,,,0.020000000000000018,,
1.1,,,,0.020000000000000018,,
1.12,,,,0.020000000000000018,,
1.14,,,,0.019999999999999796,,
1.16,,,,0.020000000000000018,,
1.18,,,,0.020000000000000018,,
1.2,,,,0.020000000000000018,,
1.22,,,,0.020000000000000018,,
1.24,,,,0.020000000000000018,,
1.26,,,,0.020000000000000018,,
1.28,,,,0.020000000000000018,,
1.3,,,,0.020000000000000018,,
1.32,,,,0.020000000000000018,,
1.34,,,,0.020000000000000018,,
1.36,,,,0.020000000000000018,,
1.38,,,,0.019999999999999796,,
1.4,,,,0.020000000000000018,,
1.42,,,,0.020000000000000018,,
1.44,,,,0.020000000000000018,,
1.46,,,,0.020000000000000018,,
1.48,,,,0.020000000000000018,,
1.5,,,,0.020000000000000018,,
1.52,,,,0.020000000000000018,,
1.54,,,,0.020000000000000018,,
1.56,,,,0.020000000000000018,,
1.58,,,,0.020000000000000018,,
1.6,,,,0.020000000000000018,,
1.62,,,,0.020000000000000018,,
1.64,,,,0.019999999999999796,,
1.66,,,,0.020000000000000018,,
1.68,,,,0.020000000000000018,,
1.7,,,,0.020000000000000018,,
1.72,,,,0.020000000000000018,,
1.74,,,,0.020000000000000018,,
1.76,,,,0.020000000000000018,,
1.78,,,,0.020000000000000018,,
1.8,,,,0.020000000000000018,,
1.82,,,,0.020000000000000018,,
1.84,,,,0.020000000000000018,,
1.86,,,,0.020000000000000018,,
1.88,,,,0.019999999999999796,,
1.9,,,,0.020000000000000018,,
1.92,,,,0.020000000000000018,,
1.94,,,,0.020000000000000018,,
1.96,,,,0.020000000000000018,,
1.98,,,,0.020000000000000018,,
2.0,,,,0.020000000000000018,,
